Button2	KEYWORD1
begin	KEYWORD2
setDebounceTime	KEYWORD2
setLongClickTime	KEYWORD2
setDoubleClickTime	KEYWORD2
getDebounceTime	KEYWORD2
getLongClickTime	KEYWORD2
getDoubleClickTime	KEYWORD2
getPin	KEYWORD2
setLongClickDetectedRetriggerable	KEYWORD2
reset	KEYWORD2
setChangedHandler	KEYWORD2
setPressedHandler	KEYWORD2
setReleasedHandler	KEYWORD2
setTapHandler	KEYWORD2
setClickHandler	KEYWORD2
setDoubleClickHandler	KEYWORD2
setTripleClickHandler	KEYWORD2
setLongClickHandler	KEYWORD2
setLongClickDetectedHandler	KEYWORD2
wasPressedFor	KEYWORD2
isPressed	KEYWORD2
isPressedRaw	KEYWORD2
getNumberOfClicks	KEYWORD2
getType	KEYWORD2
clickToString	KEYWORD2
getID	KEYWORD2
setID	KEYWORD2
wasPressed	KEYWORD2
resetPressedState   KEYWORD2
read	KEYWORD2
getLongClickCount	KEYWORD2
wait	KEYWORD2
waitForClick	KEYWORD2
waitForDouble	KEYWORD2
waitForTriple	KEYWORD2
waitForLong	KEYWORD2
loop	KEYWORD2
BTN_DEBOUNCE_MS	LITERAL1
BTN_LONGCLICK_MS	LITERAL1
BTN_DOUBLECLICK_MS	LITERAL1
BTN_UNDEFINED_PIN	LITERAL1
BTN_VIRTUAL_PIN	LITERAL1
clickType	LITERAL1
